,Date,Persian_Date,Open,Low,High,Close
798,7/26/2014,1393/05/04,"31,390","31,350","31,410","31,390"
799,7/27/2014,1393/05/05,"31,380","31,320","31,410","31,370"
800,7/28/2014,1393/05/06,"31,350","31,250","31,370","31,290"
801,7/29/2014,1393/05/07,"31,310","31,260","31,310","31,260"
802,7/30/2014,1393/05/08,"31,250","31,230","31,250","31,240"
803,7/31/2014,1393/05/09,"31,250","31,200","31,250","31,230"
804,8/2/2014,1393/05/11,"31,200","31,200","31,300","31,290"
805,8/3/2014,1393/05/12,"31,330","31,290","31,400","31,400"
806,8/4/2014,1393/05/13,"31,390","31,380","31,490","31,420"
807,8/5/2014,1393/05/14,"31,410","31,370","31,450","31,400"
808,8/6/2014,1393/05/15,"31,380","31,340","31,410","31,400"
809,8/7/2014,1393/05/16,"31,350","31,320","31,370","31,320"
810,8/8/2014,1393/05/17,"31,310","31,310","31,350","31,320"
811,8/9/2014,1393/05/18,"31,310","31,260","31,340","31,300"
812,8/10/2014,1393/05/19,"31,290","31,200","31,300","31,220"
813,8/11/2014,1393/05/20,"31,190","31,170","31,290","31,250"
814,8/12/2014,1393/05/21,"31,260","31,190","31,280","31,190"
815,8/13/2014,1393/05/22,"31,210","31,200","31,270","31,270"
816,8/14/2014,1393/05/23,"31,230","31,170","31,230","31,180"
817,8/15/2014,1393/05/24,"31,170","31,170","31,190","31,190"
818,8/16/2014,1393/05/25,"31,180","31,090","31,200","31,090"
819,8/17/2014,1393/05/26,"31,080","31,000","31,090","31,020"
820,8/18/2014,1393/05/27,"31,010","30,960","31,070","31,070"
821,8/19/2014,1393/05/28,"31,060","31,030","31,150","31,050"
822,8/20/2014,1393/05/29,"31,040","30,910","31,090","30,930"
823,8/21/2014,1393/05/30,"30,940","30,900","30,960","30,920"
824,8/22/2014,1393/05/31,"30,910","30,890","30,920","30,910"
825,8/23/2014,1393/06/01,"30,920","30,910","31,230","31,210"
826,8/24/2014,1393/06/02,"31,190","31,130","31,330","31,160"
827,8/25/2014,1393/06/03,"31,150","31,120","31,350","31,330"
828,8/26/2014,1393/06/04,"31,310","31,210","31,330","31,270"
829,8/27/2014,1393/06/05,"31,280","31,220","31,300","31,300"
830,8/28/2014,1393/06/06,"31,310","31,250","31,330","31,300"
831,8/29/2014,1393/06/07,"31,310","31,300","31,420","31,420"
832,8/30/2014,1393/06/08,"31,410","31,410","31,680","31,590"
833,8/31/2014,1393/06/09,"31,580","31,480","31,590","31,500"
834,9/1/2014,1393/06/10,"31,470","31,390","31,500","31,480"
835,9/2/2014,1393/06/11,"31,470","31,470","31,750","31,730"
836,9/3/2014,1393/06/12,"31,750","31,670","31,860","31,720"
837,9/4/2014,1393/06/13,"31,690","31,650","31,850","31,810"
838,9/5/2014,1393/06/14,"31,830","31,720","31,850","31,740"
839,9/6/2014,1393/06/15,"31,720","31,540","31,760","31,570"
840,9/7/2014,1393/06/16,"31,550","31,510","31,690","31,680"
841,9/8/2014,1393/06/17,"31,690","31,670","31,980","31,980"
842,9/9/2014,1393/06/18,"32,020","31,740","32,030","31,750"
843,9/10/2014,1393/06/19,"31,760","31,680","31,860","31,790"
844,9/11/2014,1393/06/20,"31,800","31,780","31,860","31,840"
845,9/12/2014,1393/06/21,"31,830","31,830","31,870","31,860"
846,9/13/2014,1393/06/22,"31,870","31,740","31,940","31,760"
847,9/14/2014,1393/06/23,"31,750","31,730","31,930","31,910"
848,9/15/2014,1393/06/24,"31,920","31,850","32,010","31,980"
849,9/16/2014,1393/06/25,"32,000","31,870","32,090","31,920"
850,9/17/2014,1393/06/26,"31,930","31,910","32,180","32,140"
851,9/18/2014,1393/06/27,"32,130","31,960","32,160","32,010"
852,9/19/2014,1393/06/28,"32,000","31,970","32,010","31,990"
853,9/20/2014,1393/06/29,"31,980","31,780","32,000","31,780"
854,9/21/2014,1393/06/30,"31,790","31,670","31,830","31,670"
855,9/23/2014,1393/07/01,"31,770","31,760","31,930","31,880"
856,9/24/2014,1393/07/02,"31,910","31,900","32,060","31,940"
857,9/25/2014,1393/07/03,"31,910","31,910","32,020","32,000"
858,9/26/2014,1393/07/04,"32,010","31,940","32,010","32,000"
859,9/27/2014,1393/07/05,"32,010","32,010","32,480","32,480"
860,9/28/2014,1393/07/06,"32,550","32,460","32,680","32,640"
861,9/29/2014,1393/07/07,"32,610","32,350","32,610","32,350"
862,9/30/2014,1393/07/08,"32,320","32,230","32,460","32,410"
863,10/1/2014,1393/07/09,"32,470","32,420","32,570","32,430"
864,10/2/2014,1393/07/10,"32,460","32,310","32,460","32,400"
865,10/3/2014,1393/07/11,"32,390","32,380","32,440","32,430"
866,10/4/2014,1393/07/12,"32,400","32,350","32,440","32,410"
867,10/5/2014,1393/07/13,"32,400","32,290","32,400","32,310"
868,10/6/2014,1393/07/14,"32,360","32,250","32,360","32,310"
869,10/7/2014,1393/07/15,"32,300","32,300","32,450","32,390"
870,10/8/2014,1393/07/16,"32,420","32,350","32,420","32,370"
871,10/9/2014,1393/07/17,"32,410","32,410","32,510","32,480"
872,10/10/2014,1393/07/18,"32,500","32,470","32,510","32,500"
873,10/11/2014,1393/07/19,"32,560","32,410","32,610","32,430"
874,10/12/2014,1393/07/20,"32,450","32,390","32,510","32,500"
875,10/13/2014,1393/07/21,"32,510","32,480","32,530","32,520"
876,10/14/2014,1393/07/22,"32,510","32,400","32,550","32,530"
877,10/15/2014,1393/07/23,"32,550","32,440","32,570","32,440"
878,10/16/2014,1393/07/24,"32,450","32,440","32,560","32,500"
879,10/17/2014,1393/07/25,"32,470","32,460","32,510","32,460"
880,10/18/2014,1393/07/26,"32,480","32,350","32,500","32,380"
881,10/19/2014,1393/07/27,"32,370","32,310","32,390","32,340"
882,10/20/2014,1393/07/28,"32,360","32,180","32,360","32,190"
883,10/21/2014,1393/07/29,"32,240","32,200","32,300","32,280"
884,10/22/2014,1393/07/30,"32,290","32,220","32,320","32,220"
885,10/23/2014,1393/08/01,"32,250","32,220","32,280","32,280"
886,10/24/2014,1393/08/02,"32,290","32,260","32,310","32,270"
887,10/25/2014,1393/08/03,"32,260","32,090","32,270","32,100"
888,10/26/2014,1393/08/04,"32,110","32,080","32,190","32,170"
889,10/27/2014,1393/08/05,"32,220","32,210","32,370","32,360"
890,10/28/2014,1393/08/06,"32,370","32,280","32,450","32,450"
891,10/29/2014,1393/08/07,"32,420","32,340","32,430","32,390"
892,10/30/2014,1393/08/08,"32,380","32,360","32,450","32,450"
893,10/31/2014,1393/08/09,"32,480","32,480","32,530","32,520"
894,11/1/2014,1393/08/10,"32,490","32,460","32,550","32,460"
895,11/2/2014,1393/08/11,"32,480","32,410","32,540","32,530"
896,11/5/2014,1393/08/14,"32,550","32,500","32,580","32,550"
897,11/6/2014,1393/08/15,"32,560","32,500","32,580","32,500"
898,11/7/2014,1393/08/16,"32,490","32,460","32,510","32,510"
899,11/8/2014,1393/08/17,"32,460","32,450","32,650","32,570"
900,11/9/2014,1393/08/18,"32,580","32,450","32,580","32,480"
901,11/10/2014,1393/08/19,"32,470","32,400","32,540","32,540"
902,11/11/2014,1393/08/20,"32,500","32,470","32,590","32,580"
903,11/12/2014,1393/08/21,"32,560","32,500","32,600","32,580"
904,11/13/2014,1393/08/22,"32,570","32,550","32,600","32,560"
905,11/14/2014,1393/08/23,"32,580","32,550","32,580","32,550"
906,11/15/2014,1393/08/24,"32,540","32,400","32,550","32,440"
907,11/16/2014,1393/08/25,"32,460","32,400","32,470","32,470"
908,11/17/2014,1393/08/26,"32,450","32,440","32,470","32,460"
909,11/18/2014,1393/08/27,"32,440","32,440","32,580","32,560"
910,11/19/2014,1393/08/28,"32,560","32,460","32,560","32,500"
911,11/20/2014,1393/08/29,"32,510","32,480","32,530","32,530"
912,11/21/2014,1393/08/30,"32,540","32,480","32,540","32,490"
913,11/22/2014,1393/09/01,"32,480","32,370","32,490","32,370"
914,11/23/2014,1393/09/02,"32,360","32,320","32,460","32,400"
915,11/24/2014,1393/09/03,"32,420","32,410","32,650","32,560"
916,11/25/2014,1393/09/04,"32,570","32,520","32,620","32,620"
917,11/26/2014,1393/09/05,"32,630","32,630","32,950","32,900"
918,11/27/2014,1393/09/06,"32,910","32,910","33,210","33,190"
919,11/28/2014,1393/09/07,"33,210","33,200","33,260","33,250"
920,11/29/2014,1393/09/08,"33,260","33,260","34,310","34,210"
921,11/30/2014,1393/09/09,"34,180","34,000","35,300","34,610"
922,12/1/2014,1393/09/10,"34,600","33,580","34,600","33,670"
923,12/2/2014,1393/09/11,"33,680","33,370","33,840","33,580"
924,12/3/2014,1393/09/12,"33,560","33,550","33,770","33,670"
925,12/4/2014,1393/09/13,"33,660","33,590","33,720","33,700"
926,12/5/2014,1393/09/14,"33,690","33,680","33,700","33,680"
927,12/6/2014,1393/09/15,"33,630","33,370","33,690","33,430"
928,12/7/2014,1393/09/16,"33,500","33,470","34,170","34,160"
929,12/8/2014,1393/09/17,"34,320","34,090","34,640","34,250"
930,12/9/2014,1393/09/18,"34,210","33,990","34,280","34,010"
931,12/10/2014,1393/09/19,"33,990","33,920","34,210","34,190"
932,12/11/2014,1393/09/20,"34,180","34,140","34,310","34,220"
933,12/12/2014,1393/09/21,"34,230","34,220","34,260","34,260"
934,12/13/2014,1393/09/22,"34,270","34,240","34,280","34,240"
935,12/14/2014,1393/09/23,"34,230","34,210","34,930","34,900"
936,12/15/2014,1393/09/24,"34,920","34,000","35,010","34,100"
937,12/16/2014,1393/09/25,"34,110","33,800","34,830","34,800"
938,12/17/2014,1393/09/26,"34,750","34,750","35,100","34,930"
939,12/18/2014,1393/09/27,"34,910","34,910","35,140","35,000"
940,12/19/2014,1393/09/28,"35,010","34,940","35,050","34,940"
941,12/20/2014,1393/09/29,"34,960","34,860","35,230","35,100"
942,12/21/2014,1393/09/30,"35,130","35,060","35,130","35,070"
943,12/22/2014,1393/10/01,"35,110","35,110","35,600","35,530"
944,12/23/2014,1393/10/02,"35,580","35,550","35,610","35,560"
945,12/24/2014,1393/10/03,"35,630","35,300","35,870","35,730"
946,12/25/2014,1393/10/04,"35,680","35,500","35,720","35,590"
947,12/26/2014,1393/10/05,"35,580","35,390","35,580","35,390"
948,12/27/2014,1393/10/06,"35,380","35,380","35,650","35,580"
949,12/28/2014,1393/10/07,"35,560","35,480","35,740","35,530"
950,12/29/2014,1393/10/08,"35,590","35,440","35,640","35,490"
951,12/30/2014,1393/10/09,"35,500","35,120","35,560","35,210"
952,12/31/2014,1393/10/10,"35,200","34,920","35,200","35,010"
953,1/1/2015,1393/10/11,"35,000","34,950","35,030","35,010"
954,1/2/2015,1393/10/12,"35,000","34,950","35,000","34,960"
955,1/3/2015,1393/10/13,"34,930","34,770","35,100","35,090"
956,1/4/2015,1393/10/14,"35,080","35,080","35,440","35,210"
957,1/5/2015,1393/10/15,"35,220","35,060","35,330","35,120"
958,1/6/2015,1393/10/16,"35,140","35,130","35,260","35,240"
959,1/7/2015,1393/10/17,"35,260","35,110","35,260","35,130"
960,1/8/2015,1393/10/18,"35,140","35,000","35,140","35,000"
961,1/9/2015,1393/10/19,"35,020","34,960","35,020","34,970"
962,1/10/2015,1393/10/20,"34,980","34,880","35,090","34,940"
963,1/11/2015,1393/10/21,"34,930","34,830","34,960","34,860"
964,1/12/2015,1393/10/22,"34,850","34,660","34,860","34,700"
965,1/13/2015,1393/10/23,"34,690","34,460","34,690","34,500"
966,1/14/2015,1393/10/24,"34,490","34,380","34,570","34,520"
967,1/15/2015,1393/10/25,"34,530","34,500","34,580","34,500"
968,1/16/2015,1393/10/26,"34,490","34,430","34,490","34,450"
969,1/17/2015,1393/10/27,"34,440","34,380","34,500","34,460"
970,1/18/2015,1393/10/28,"34,490","34,490","34,700","34,670"
971,1/19/2015,1393/10/29,"34,720","34,720","35,210","35,140"
972,1/20/2015,1393/10/30,"35,110","34,680","35,110","34,740"
973,1/21/2015,1393/11/01,"34,620","34,420","34,680","34,610"
974,1/22/2015,1393/11/02,"34,660","34,540","34,660","34,570"
975,1/24/2015,1393/11/04,"34,600","34,430","34,600","34,430"
976,1/25/2015,1393/11/05,"34,480","34,480","34,700","34,650"
977,1/26/2015,1393/11/06,"34,640","34,610","34,900","34,690"
978,1/27/2015,1393/11/07,"34,700","34,600","34,730","34,600"
979,1/28/2015,1393/11/08,"34,590","34,560","34,670","34,560"
980,1/29/2015,1393/11/09,"34,570","34,530","34,640","34,560"
981,1/31/2015,1393/11/11,"34,620","34,510","34,620","34,570"
982,2/1/2015,1393/11/12,"34,590","34,520","34,620","34,550"
983,2/2/2015,1393/11/13,"34,570","34,540","34,580","34,560"
984,2/3/2015,1393/11/14,"34,570","34,540","34,570","34,560"
985,2/4/2015,1393/11/15,"34,550","34,400","34,560","34,430"
986,2/5/2015,1393/11/16,"34,410","34,270","34,410","34,320"
987,2/7/2015,1393/11/18,"34,330","34,160","34,330","34,190"
988,2/8/2015,1393/11/19,"34,160","33,880","34,160","34,090"
989,2/9/2015,1393/11/20,"34,080","34,080","34,370","34,310"
990,2/10/2015,1393/11/21,"34,280","34,210","34,320","34,300"
991,2/12/2015,1393/11/23,"34,320","34,250","34,320","34,290"
992,2/14/2015,1393/11/25,"34,320","34,260","34,350","34,320"
993,2/15/2015,1393/11/26,"34,310","34,260","34,320","34,300"
994,2/16/2015,1393/11/27,"34,310","34,190","34,310","34,220"
995,2/17/2015,1393/11/28,"34,200","33,980","34,200","34,020"
996,2/18/2015,1393/11/29,"34,040","34,010","34,150","34,140"
997,2/19/2015,1393/11/30,"34,180","34,120","34,210","34,140"
998,2/21/2015,1393/12/02,"34,130","34,040","34,150","34,070"
999,2/22/2015,1393/12/03,"34,080","34,060","34,220","34,220"
1000,2/23/2015,1393/12/04,"34,200","34,200","34,410","34,350"
1001,2/24/2015,1393/12/05,"34,370","34,290","34,370","34,340"
1002,2/25/2015,1393/12/06,"34,350","34,330","34,450","34,360"
1003,2/26/2015,1393/12/07,"34,390","34,300","34,410","34,350"
1004,2/27/2015,1393/12/08,"34,310","34,310","34,310","34,310"
1005,2/28/2015,1393/12/09,"34,290","34,160","34,330","34,240"
1006,3/1/2015,1393/12/10,"34,260","34,190","34,280","34,260"
1007,3/2/2015,1393/12/11,"34,250","34,240","34,290","34,250"
1008,3/3/2015,1393/12/12,"34,260","34,070","34,260","34,170"
1009,3/4/2015,1393/12/13,"34,180","34,110","34,200","34,200"
1010,3/5/2015,1393/12/14,"34,160","34,130","34,180","34,130"
1011,3/7/2015,1393/12/16,"34,120","33,940","34,120","33,990"
1012,3/8/2015,1393/12/17,"34,020","33,930","34,060","34,060"
1013,3/9/2015,1393/12/18,"34,050","33,960","34,060","33,960"
1014,3/10/2015,1393/12/19,"33,980","33,820","33,980","33,840"
1015,3/11/2015,1393/12/20,"33,800","33,330","33,800","33,360"
1016,3/12/2015,1393/12/21,"33,410","32,960","33,410","33,240"
1017,3/13/2015,1393/12/22,"33,170","32,950","33,170","32,990"
1018,3/14/2015,1393/12/23,"32,960","32,200","32,960","32,200"
1019,3/15/2015,1393/12/24,"32,180","31,600","32,670","32,410"
1020,3/16/2015,1393/12/25,"32,440","32,400","33,150","32,810"
1021,3/17/2015,1393/12/26,"32,870","32,870","33,860","33,530"
1022,3/18/2015,1393/12/27,"33,530","33,350","33,760","33,490"
1023,3/19/2015,1393/12/28,"33,580","32,950","33,700","33,380"
1024,3/23/2015,1394/01/03,"33,560","33,560","33,560","33,560"
1025,3/24/2015,1394/01/04,"33,600","33,600","33,600","33,600"
1026,3/25/2015,1394/01/05,"33,560","33,560","34,280","33,930"
1027,3/26/2015,1394/01/06,"33,980","33,890","34,030","33,930"
1028,3/28/2015,1394/01/08,"33,810","32,730","33,810","32,960"
1029,3/29/2015,1394/01/09,"32,970","32,610","33,180","33,100"
1030,3/30/2015,1394/01/10,"33,110","32,990","33,340","33,240"
1031,3/31/2015,1394/01/11,"33,190","32,880","33,390","33,070"
1032,4/1/2015,1394/01/12,"32,890","32,890","33,300","33,300"
1033,4/2/2015,1394/01/13,"33,230","32,250","33,230","32,350"
1034,4/3/2015,1394/01/14,"32,340","31,710","32,340","31,880"
1035,4/4/2015,1394/01/15,"31,850","31,710","32,700","32,690"
1036,4/5/2015,1394/01/16,"32,760","32,670","32,990","32,840"
1037,4/6/2015,1394/01/17,"32,820","32,600","32,890","32,860"
1038,4/7/2015,1394/01/18,"32,840","32,840","33,170","33,140"
1039,4/8/2015,1394/01/19,"33,170","32,930","33,330","32,930"
1040,4/9/2015,1394/01/20,"32,910","32,860","33,090","32,900"
1041,4/11/2015,1394/01/22,"32,950","32,950","33,560","33,520"
1042,4/12/2015,1394/01/23,"33,570","33,390","33,850","33,390"
1043,4/13/2015,1394/01/24,"33,420","33,340","33,580","33,380"
1044,4/14/2015,1394/01/25,"33,480","33,270","33,530","33,450"
1045,4/15/2015,1394/01/26,"33,440","33,440","33,710","33,580"
1046,4/16/2015,1394/01/27,"33,590","33,450","33,620","33,480"
1047,4/17/2015,1394/01/28,"33,490","33,420","33,490","33,420"
1048,4/18/2015,1394/01/29,"33,440","33,330","33,450","33,360"
1049,4/19/2015,1394/01/30,"33,340","33,310","33,440","33,390"
1050,4/20/2015,1394/01/31,"33,450","33,350","33,450","33,390"
1051,4/21/2015,1394/02/01,"33,400","33,370","33,450","33,390"
1052,4/22/2015,1394/02/02,"33,380","33,310","33,390","33,360"
1053,4/23/2015,1394/02/03,"33,370","33,310","33,390","33,330"
1054,4/24/2015,1394/02/04,"33,340","33,330","33,340","33,330"
1055,4/25/2015,1394/02/05,"33,320","33,210","33,340","33,220"
1056,4/26/2015,1394/02/06,"33,200","33,190","33,350","33,300"
1057,4/27/2015,1394/02/07,"33,340","33,340","33,430","33,350"
1058,4/28/2015,1394/02/08,"33,360","33,310","33,390","33,380"
1059,4/29/2015,1394/02/09,"33,390","33,340","33,410","33,360"
1060,4/30/2015,1394/02/10,"33,370","33,330","33,400","33,390"
1061,5/1/2015,1394/02/11,"33,400","33,390","33,400","33,390"
1062,5/3/2015,1394/02/13,"33,410","33,350","33,430","33,390"
1063,5/4/2015,1394/02/14,"33,400","33,250","33,400","33,250"
1064,5/5/2015,1394/02/15,"33,230","33,170","33,270","33,270"
1065,5/6/2015,1394/02/16,"33,250","33,190","33,320","33,300"
1066,5/7/2015,1394/02/17,"33,310","33,280","33,320","33,290"
1067,5/8/2015,1394/02/18,"33,300","33,300","33,300","33,300"
1068,5/9/2015,1394/02/19,"33,290","33,210","33,300","33,210"
1069,5/10/2015,1394/02/20,"33,220","33,140","33,220","33,180"
1070,5/11/2015,1394/02/21,"33,170","33,110","33,190","33,160"
1071,5/12/2015,1394/02/22,"33,120","33,070","33,170","33,160"
1072,5/13/2015,1394/02/23,"33,180","33,150","33,270","33,190"
1073,5/14/2015,1394/02/24,"33,180","33,170","33,200","33,200"
1074,5/15/2015,1394/02/25,"33,190","33,190","33,190","33,190"
1075,5/16/2015,1394/02/26,"33,200","33,190","33,200","33,190"
1076,5/17/2015,1394/02/27,"33,150","33,090","33,160","33,100"
1077,5/18/2015,1394/02/28,"33,040","33,040","33,080","33,070"
1078,5/19/2015,1394/02/29,"33,060","32,980","33,080","32,980"
1079,5/20/2015,1394/02/30,"32,990","32,770","33,020","32,830"
1080,5/21/2015,1394/02/31,"32,940","32,850","33,050","32,850"
1081,5/23/2015,1394/03/02,"32,960","32,960","33,100","32,970"
1082,5/24/2015,1394/03/03,"33,000","32,950","33,050","32,950"
1083,5/25/2015,1394/03/04,"33,070","32,930","33,130","32,930"
1084,5/26/2015,1394/03/05,"33,110","33,000","33,150","33,000"
1085,5/27/2015,1394/03/06,"33,070","33,000","33,150","33,000"
1086,5/28/2015,1394/03/07,"33,100","32,980","33,220","32,980"
1087,5/30/2015,1394/03/09,"33,100","33,080","33,320","33,080"
1088,5/31/2015,1394/03/10,"33,200","33,160","33,320","33,190"
1089,6/1/2015,1394/03/11,"33,200","33,100","33,210","33,130"
1090,6/2/2015,1394/03/12,"33,160","33,100","33,220","33,130"
1091,6/6/2015,1394/03/16,"33,180","33,110","33,230","33,110"
1092,6/7/2015,1394/03/17,"33,130","33,070","33,130","33,080"
1093,6/8/2015,1394/03/18,"33,140","33,100","33,160","33,100"
1094,6/9/2015,1394/03/19,"33,110","33,080","33,160","33,080"
1095,6/10/2015,1394/03/20,"33,120","33,080","33,170","33,080"
1096,6/11/2015,1394/03/21,"33,100","33,050","33,110","33,050"
1097,6/13/2015,1394/03/23,"33,080","33,040","33,100","33,040"
1098,6/14/2015,1394/03/24,"33,020","32,920","33,020","32,920"
1099,6/15/2015,1394/03/25,"32,910","32,820","32,910","32,820"
1100,6/16/2015,1394/03/26,"32,750","32,690","32,850","32,850"
1101,6/17/2015,1394/03/27,"32,860","32,820","32,920","32,850"
1102,6/18/2015,1394/03/28,"32,840","32,780","32,840","32,780"
1103,6/20/2015,1394/03/30,"32,790","32,700","32,790","32,710"
1104,6/21/2015,1394/03/31,"32,730","32,680","32,770","32,720"
1105,6/22/2015,1394/04/01,"32,650","32,600","32,670","32,620"
1106,6/23/2015,1394/04/02,"32,630","32,580","32,660","32,660"
1107,6/24/2015,1394/04/03,"32,680","32,660","32,850","32,750"
1108,6/25/2015,1394/04/04,"32,850","32,750","32,880","32,750"
1109,6/27/2015,1394/04/06,"32,860","32,860","33,070","33,030"
1110,6/28/2015,1394/04/07,"33,080","33,000","33,380","33,000"
1111,6/29/2015,1394/04/08,"33,170","33,000","33,330","33,000"
1112,6/30/2015,1394/04/09,"32,980","32,870","33,110","32,990"
1113,7/1/2015,1394/04/10,"33,230","33,090","33,330","33,090"
1114,7/2/2015,1394/04/11,"33,040","32,940","33,060","32,950"
1115,7/4/2015,1394/04/13,"33,020","33,000","33,180","33,040"
1116,7/5/2015,1394/04/14,"33,130","32,900","33,130","32,950"
1117,7/6/2015,1394/04/15,"32,970","32,700","32,970","32,720"
1118,7/7/2015,1394/04/16,"32,560","32,420","32,690","32,480"
1119,7/9/2015,1394/04/18,"32,500","32,380","32,560","32,380"
1120,7/11/2015,1394/04/20,"32,440","32,440","32,590","32,490"
1121,7/12/2015,1394/04/21,"32,580","32,450","32,590","32,500"
1122,7/13/2015,1394/04/22,"32,270","32,120","32,270","32,140"
1123,7/14/2015,1394/04/23,"32,050","31,780","32,170","32,160"
1124,7/15/2015,1394/04/24,"32,350","32,180","32,620","32,180"
1125,7/16/2015,1394/04/25,"32,490","32,190","32,490","32,300"
1126,7/20/2015,1394/04/29,"32,320","32,290","32,370","32,300"
1127,7/21/2015,1394/04/30,"32,250","32,200","32,420","32,350"
1128,7/22/2015,1394/04/31,"32,530","32,380","32,620","32,390"
1129,7/23/2015,1394/05/01,"32,530","32,380","32,560","32,380"
1130,7/25/2015,1394/05/03,"32,770","32,570","32,950","32,570"
1131,7/26/2015,1394/05/04,"33,030","32,570","33,180","32,950"
1132,7/27/2015,1394/05/05,"32,990","32,860","33,000","32,900"
1133,7/28/2015,1394/05/06,"33,030","32,980","33,090","32,980"
1134,7/29/2015,1394/05/07,"33,080","32,990","33,100","33,030"
1135,7/30/2015,1394/05/08,"33,050","33,000","33,070","33,000"
1136,8/1/2015,1394/05/10,"33,080","33,060","33,200","33,140"
1137,8/2/2015,1394/05/11,"33,220","33,120","33,270","33,150"
1138,8/3/2015,1394/05/12,"33,200","33,130","33,220","33,160"
1139,8/4/2015,1394/05/13,"33,250","33,220","33,330","33,240"
1140,8/5/2015,1394/05/14,"33,250","33,250","33,320","33,270"
1141,8/6/2015,1394/05/15,"33,300","33,250","33,400","33,250"
1142,8/8/2015,1394/05/17,"33,400","33,380","33,600","33,380"
1143,8/9/2015,1394/05/18,"33,500","33,300","33,510","33,390"
1144,8/10/2015,1394/05/19,"33,380","33,360","33,490","33,360"
1145,8/12/2015,1394/05/21,"33,440","33,360","33,590","33,460"
1146,8/13/2015,1394/05/22,"33,600","33,450","33,680","33,450"
1147,8/15/2015,1394/05/24,"33,580","33,400","33,640","33,400"
1148,8/16/2015,1394/05/25,"33,410","33,390","33,470","33,410"
1149,8/17/2015,1394/05/26,"33,480","33,410","33,580","33,410"
1150,8/18/2015,1394/05/27,"33,450","33,450","33,710","33,550"
1151,8/19/2015,1394/05/28,"33,590","33,460","33,620","33,460"
1152,8/20/2015,1394/05/29,"33,580","33,490","33,600","33,490"
1153,8/22/2015,1394/05/31,"33,500","33,480","33,630","33,480"
1154,8/23/2015,1394/06/01,"33,660","33,500","33,720","33,500"
1155,8/24/2015,1394/06/02,"33,680","33,550","33,760","33,550"
1156,8/25/2015,1394/06/03,"33,730","33,580","33,810","33,650"
1157,8/26/2015,1394/06/04,"33,860","33,630","34,070","33,630"
1158,8/27/2015,1394/06/05,"33,690","33,550","34,000","33,550"
1159,8/29/2015,1394/06/07,"33,870","33,590","33,930","33,590"
1160,8/30/2015,1394/06/08,"33,780","33,670","33,890","33,670"
1161,8/31/2015,1394/06/09,"34,020","33,770","34,100","33,770"
1162,9/1/2015,1394/06/10,"34,030","33,960","34,120","34,000"
1163,9/2/2015,1394/06/11,"34,160","33,980","34,160","33,980"
1164,9/3/2015,1394/06/12,"34,000","33,850","34,050","33,850"
1165,9/5/2015,1394/06/14,"34,120","33,830","34,120","33,830"
1166,9/6/2015,1394/06/15,"33,920","33,920","34,270","33,970"
1167,9/7/2015,1394/06/16,"34,220","33,890","34,270","33,890"
1168,9/8/2015,1394/06/17,"34,150","33,830","34,370","33,830"
1169,9/9/2015,1394/06/18,"34,220","33,830","34,320","33,850"
1170,9/10/2015,1394/06/19,"33,920","33,850","34,300","33,850"
1171,9/12/2015,1394/06/21,"34,370","33,900","34,500","33,900"
1172,9/13/2015,1394/06/22,"34,040","33,980","34,560","33,980"
1173,9/14/2015,1394/06/23,"34,130","34,130","34,750","34,200"
1174,9/15/2015,1394/06/24,"34,340","33,950","34,920","33,950"
1175,9/16/2015,1394/06/25,"34,510","33,930","34,510","33,930"
1176,9/17/2015,1394/06/26,"33,990","33,850","33,990","33,850"
1177,9/19/2015,1394/06/28,"33,980","33,850","34,000","33,850"
1178,9/20/2015,1394/06/29,"34,020","33,830","34,040","33,830"
1179,9/21/2015,1394/06/30,"33,820","33,720","33,820","33,720"
1180,9/22/2015,1394/06/31,"34,020","33,880","34,080","33,880"
1181,9/23/2015,1394/07/01,"33,900","33,850","33,950","33,850"
1182,9/26/2015,1394/07/04,"33,950","33,840","33,970","33,840"
1183,9/27/2015,1394/07/05,"33,910","33,910","34,200","33,930"
1184,9/28/2015,1394/07/06,"34,010","33,920","34,200","33,920"
1185,9/29/2015,1394/07/07,"34,170","33,950","34,250","34,090"
1186,9/30/2015,1394/07/08,"34,650","34,090","34,650","34,090"
1187,10/1/2015,1394/07/09,"34,290","34,050","34,520","34,050"
1188,10/3/2015,1394/07/11,"34,370","34,090","34,610","34,090"
1189,10/4/2015,1394/07/12,"34,450","33,950","34,450","33,950"
1190,10/5/2015,1394/07/13,"34,230","33,990","34,500","33,990"
1191,10/6/2015,1394/07/14,"34,160","33,990","34,850","33,990"
1192,10/7/2015,1394/07/15,"34,560","33,990","34,750","33,990"
1193,10/8/2015,1394/07/16,"34,400","33,980","34,790","33,980"
1194,10/10/2015,1394/07/18,"34,140","33,980","34,790","33,980"
1195,10/11/2015,1394/07/19,"34,400","33,900","34,650","33,900"
1196,10/12/2015,1394/07/20,"34,700","33,890","34,700","33,890"
1197,10/13/2015,1394/07/21,"34,420","33,880","34,550","33,880"
1198,10/14/2015,1394/07/22,"33,950","33,880","34,670","33,890"
1199,10/15/2015,1394/07/23,"34,530","33,880","34,600","33,880"
1200,10/17/2015,1394/07/25,"34,450","33,870","34,530","33,870"
1201,10/18/2015,1394/07/26,"34,390","33,870","34,390","33,870"
1202,10/19/2015,1394/07/27,"34,330","33,810","34,350","33,810"
